지역, 온도, 습도
강릉,7.9,26
강진군,1.0,69
강화,3.7,64
거제,7.4,58
거창,1.9,54
경주시,3.7,56
고산,4.9,55
고창,0.3,58
고창군,0.5,58
고흥,1.6,67
광양시,5.2,37
광주,5.5,30
구미,4.9,44
군산,2.6,59
금산,-0.2,63
김해시,5.6,50
남원,0.7,60
남해,4.9,57
대관령,-0.9,37
대구,5.6,36
대전,3.2,47
동두천,1.5,57
동해,6.6,35
목포,3.8,59
문경,3.0,51
밀양,4.0,53
백령도,6.7,78
보령,2.5,63
보성군,2.8,57
보은,0.4,66
봉화,2.4,53
부산,7.2,51
부안,1.7,68
부여,0.9,71
북강릉,5.2,30
북부산,4.4,61
북창원,6.6,50
북춘천,1.7,52
산청,2.7,48
상주,4.5,40
서귀포,6.4,63
서산,2.8,64
서울,4.1,55
성산,4.5,66
세종,2.3,50
속초,6.5,22
수원,3.7,53
순창군,0.7,67
순천,-0.2,71
안동,5.1,32
양산시,6.6,56
양평,3.0,50
여수,6.3,44
영광군,1.1,62
영덕,5.2,36
영월,2.9,38
영주,5.0,30
영천,3.3,51
완도,3.9,40
울릉도,2.2,54
울산,5.0,54
울진,6.4,26
원주,4.3,37
의령군,2.4,58
의성,2.8,55
이천,4.2,46
인제,4.1,28
인천,3.6,58
임실,-0.5,65
장수,-2.3,78
장흥,0.0,62
전주,3.6,49
정선군,3.2,15
정읍,1.0,62
제주,5.2,51
제천,0.5,62
진도군,-0.3,78
진주,2.4,66
창원,4.2,56
천안,2.1,59
철원,0.9,63
청송군,1.1,54
청주,4.5,40
추풍령,3.9,36
춘천,2.8,44
충주,1.9,51
태백,0.8,34
통영,7.4,58
파주,1.5,66
포항,7.6,30
함양군,0.5,66
합천,3.8,52
해남,-0.8,88
홍성,2.7,62
홍천,2.9,36
흑산도,5.7,57
